Affiliation,PIs,Cancer type 
"PRINCIPAL_INVESTIGATOR, Lisa Carter-Bawa, PhD, Hackensack Meridian Health","Lisa Carter-Bawa, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Manali I Patel, MD MPH MS, VA Palo Alto","Manali I Patel, MD MPH MS",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trials, Hoffmann-La Roche",Clinical Trials,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Qingyuan Zhang, The Affiliated Tumor Hospital of Harbin Medical University",Qingyuan Zhang,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Farastuk Bozorgmehr, Dr. med., Dept. of Thoracic Oncology Thoraxklinik at Heidelberg University","Farastuk Bozorgmehr, Dr. med.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Prantesh Jain, MD, Roswell Park Cancer Institute","Prantesh Jain, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, sehoon lee, MD, Samsung Medical Center","sehoon lee, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Maximilian Diehn, MD, Stanford Universiy","Maximilian Diehn, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Janice Lyons, MD, University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center","Janice Lyons, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Mary Horowitz, MD, Center for International Blood and Marrow Transplant Research","Mary Horowitz, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Caicun Zhou, PhD, Shanghai Pulmonary Hospital, Shanghai, China","Caicun Zhou, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, James Spicer, MD, Guys Hospital","James Spicer, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kathryn A Lurain, M.D., National Cancer Institute (NCI)","Kathryn A Lurain, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Donna Graham, MD, The Christie NHS Foundation Trust","Donna Graham, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Minesh Mehta, MD, Miami Cancer Institute, Miami FL USA|   PRINCIPAL_INVESTIGATOR, Paul Brown, MD, MD Anderson Cancer Center, Houston TX USA|   PRINCIPAL_INVESTIGATOR, Vinai Gondi, MD, Northwestern Medicine Cancer Center, Warenville IL USA|   PRINCIPAL_INVESTIGATOR, Manmeet Ahluwalia, MD, Cleveland Clinic, Cleveland OH USA","Minesh Mehta, MD| Paul Brown, MD| Vinai Gondi, MD| Manmeet Ahluwalia, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Zhaohui Zhu, MD, Peking Union Medical College Hospital","Zhaohui Zhu, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Carmel McEniery, PhD, University of Cambridge","Carmel McEniery, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, SUPIOT Stéphane, MD, Institut de Cancérologie de l'Ouest (ICO) - Nantes, France","SUPIOT Stéphane, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Les Brail, PhD, Clinical Development","Les Brail, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Casper Falster, MD, Odense University Hospital|   STUDY_CHAIR, Christian B Laursen, Prof. MD, Odense University Hospital","Casper Falster, MD| Christian B Laursen, Prof. MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Zhonglin Hao, MD, University of Kentucky","Zhonglin Hao, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Joseph J Cullen, MD, FACS, University of Iowa","Joseph J Cullen, MD, FACS",Lung cancer (Ongoing)
"STUDY_DIRECTOR, John Kauh, MD, Hutchmed","John Kauh, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michael Scheurer, PhD, Children's Oncology Group","Michael Scheurer, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Trial Management, Regeneron Pharmaceuticals",Clinical Trial Management,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Sundeep Master, Intuitive Surgical",Sundeep Master,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Francesco Passamonti, MD, Ospedale di Circolo e Fondazione Macchi, ASST Sette Laghi, Varese, Italy","Francesco Passamonti, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tianhong Li, University of California, Davis",Tianhong Li,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Andarix Study Director, Andarix Pharmaceuticals",Andarix Study Director,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Reggie Ewesuedo, MD, Lantern Pharma Inc.","Reggie Ewesuedo, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Neil Newman, MD, The University of Texas Health Science Center - Mays Cancer Center","Neil Newman, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Willis Navarro, MD, Aadi Bioscience","Willis Navarro, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Xinshuai Wang, PHD, The First Affiliated Hospital of Clinical Medicine of Henan University of Science and Technology|   PRINCIPAL_INVESTIGATOR, Guoqiang Kong, MD, The First Affiliated Hospital of Clinical Medicine of Henan University of Science and Technology|   PRINCIPAL_INVESTIGATOR, Xiaozhi Yuan, MD, The First Affiliated Hospital of Clinical Medicine of Henan University of Science and Technology|   PRINCIPAL_INVESTIGATOR, Jing Ren, MD, The First Affiliated Hospital of Clinical Medicine of Henan University of Science and Technology","Xinshuai Wang, PHD| Guoqiang Kong, MD| Xiaozhi Yuan, MD| Jing Ren, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, María González Cao, Hospital Quirón-Dexeus",María González Cao,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mariano Provencio, MD, Hospital Puerta del Hierro","Mariano Provencio, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Daniel Tan, BSc, MBBS, MRCP, National Cancer Centre, Singapore","Daniel Tan, BSc, MBBS, MRCP",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Nirali N Shah, M.D., National Cancer Institute (NCI)","Nirali N Shah, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Thomas Marron, MD, PhD, Icahn School of Medicine at Mount Sinai","Thomas Marron, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Martin R Wilkins, MD, FRCP, Imperial College London","Martin R Wilkins, MD, FRCP",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Christopher G Kanakry, M.D., National Cancer Institute (NCI)","Christopher G Kanakry, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Markus Plate, MD, Weill Medical College of Cornell University","Markus Plate, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Theodore Brasky, PhD, Ohio State University Comprehensive Cancer Center","Theodore Brasky, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Michael Lock, M.D., Lawson Health Research Institute","Michael Lock, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David Hong, MD, M.D. Anderson Cancer Center","David Hong, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Irene Ghobrial, MD, Dana-Farber Cancer Institute","Irene Ghobrial, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Maurizio Martelli, MD, Università La Sapienza (Rome - Italy)|   STUDY_CHAIR, Andrew J Davies, MD, University of Southampton (UK)|   STUDY_CHAIR, Mary Gospodarowicz, MD, Princess Margaret Hospital Toronto (Canada)|   STUDY_CHAIR, Sally F Barrington, MD, St. Thomas' - London (UK)|   STUDY_CHAIR, Alberto Biggi, MD, AO S. Croce e Carle, Cuneo (Italia)|   STUDY_CHAIR, Annibale Versari, MD, S.Maria Nuova Hospital, Reggio Emilia (Italia)|   STUDY_CHAIR, Gianni Ciccone, MD, CPO Torino (Italy)|   STUDY_CHAIR, Stèphane Chauvie, MD, AO S. Crtoce e Carle - Cuneo (Italy)|   STUDY_CHAIR, Luca Ceriani, MD, IOSI - Bellinzona (Switzerland)","Maurizio Martelli, MD| Andrew J Davies, MD| Mary Gospodarowicz, MD| Sally F Barrington, MD| Alberto Biggi, MD| Annibale Versari, MD| Gianni Ciccone, MD| Stèphane Chauvie, MD| Luca Ceriani, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sarina A. Piha-Paul, MD, M.D. Anderson Cancer Center","Sarina A. Piha-Paul, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Gary Middleton, Professor, University of Birmingham","Gary Middleton, Professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Shalini Makawita, MD, Baylor College of Medicine","Shalini Makawita, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Irving D Kaplan, MD, Beth Israel Deaconess Medical Center","Irving D Kaplan, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kathrin Milbury, PHD, MA, M.D. Anderson Cancer Center","Kathrin Milbury, PHD, MA",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pierre PHILOUZE, MD, Hospices Civils de Lyon","Pierre PHILOUZE, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anne Chiang, MD, PhD, Yale University","Anne Chiang, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kwun M Fong, UQTRC at TPCH|   PRINCIPAL_INVESTIGATOR, Steven Lam, British Columbia Cancer Agency",Kwun M Fong| Steven Lam,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Isabella C Glitza, MD, M.D. Anderson Cancer Center","Isabella C Glitza, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_CHAIR, Shun Lu, Shanghai Chest Hospital",Shun Lu,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, ANDRES F HENAO, MD, University of Colorado, Denver","ANDRES F HENAO, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Johann de Bono, MD, Royal Marsden NHS Foundation Trust","Johann de Bono, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tereza Paračková, MD, University Hospital Ostrava","Tereza Paračková, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Arcus Biosciences, Inc.",Medical Director,Lung cancer (Ongoing)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Luca Mazzarella, MD, IEO Hospital","Luca Mazzarella, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Xin Ye, Shandong Provincial Hospital",Xin Ye,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Larissa A Korde, National Cancer Institute (NCI)",Larissa A Korde,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Fabrice BARLESI, Pr, CHU Hopital Nord Marseille","Fabrice BARLESI, Pr",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ravi Rajaram, M.D. Anderson Cancer Center",Ravi Rajaram,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Responsible, Merck KGaA, Darmstadt, Germany",Medical Responsible,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Philippe Bedard, MD, Princess Margaret Hospital, Canada|   PRINCIPAL_INVESTIGATOR, Lillian Siu, MD, Princess Margaret Hospital, Canada","Philippe Bedard, MD| Lillian Siu, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Szu-Yuan Wu, Asia University, Taiwan",Szu-Yuan Wu,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Eiichi Inada, M.D., Juntendo University","Eiichi Inada, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Martin Wermke, MD, Technische Universität Dresden (TUD)","Martin Wermke, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Roberto Casal, MD, MD Anderson|   PRINCIPAL_INVESTIGATOR, Bryan Husta, MD, Memorial Sloan Kettering Cancer Center","Roberto Casal, MD| Bryan Husta, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kathryn N Weaver, MD, Children's Hospital Medical Center, Cincinnati","Kathryn N Weaver, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Alissa Keegan, MD, PhD, CRISPR Therapeutics","Alissa Keegan, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Grant D Stewart, University of Cambridge",Grant D Stewart,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Linda Garland, MD, University of Arizona","Linda Garland, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Tianqing Chu Chu, Shanghai Chest Hospital",Tianqing Chu Chu,Lung cancer (Ongoing)
"STUDY_CHAIR, Ilya Sivokozov, MD PhD, Central TB Research Institute","Ilya Sivokozov, MD PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Laurie McLouth, PhD, University of Kentucky","Laurie McLouth, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Chad G Rusthoven, SWOG Cancer Research Network",Chad G Rusthoven,Lung cancer (Ongoing)
"STUDY_CHAIR, Houda Bahig, MD PhD, Centre hospitalier de l'Université de Montréal (CHUM)|   STUDY_CHAIR, Bertrand Routy, MD PhD, Centre hospitalier de l'Université de Montréal (CHUM)","Houda Bahig, MD PhD| Bertrand Routy, MD PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, George R Blumenschein, M.D. Anderson Cancer Center",George R Blumenschein,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jamie Ostroff, PhD, Memorial Sloan Kettering Cancer Center","Jamie Ostroff, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Global Clinical Leader, Daiichi Sankyo, Inc.",Global Clinical Leader,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST), Eli Lilly and Company","Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anwen Liu, PhD, Second Affiliated Hospital of Nanchang University","Anwen Liu, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, John Heymach, MD, UT MD Anderson Cancer Institute","John Heymach, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Pornanong Aramwit, Professor, Chulalongkorn University","Pornanong Aramwit, Professor",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Agenus Inc.",Medical Director,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Yang Jin, professor, Wuhan Union Hospital, China","Yang Jin, professor",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Clinical Sciences & Operations, Sanofi",Clinical Sciences & Operations,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Saiama Waqar, MD, Washington University School of Medicine","Saiama Waqar, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Leopoldo N Segal, MD, MSc, New York Langone Health","Leopoldo N Segal, MD, MSc",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Amit Sawant, PhD, University of Maryland","Amit Sawant, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Aaron S Mansfield, Alliance for Clinical Trials in Oncology",Aaron S Mansfield,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ben Creelan, MD, MS, Moffitt Cancer Center","Ben Creelan, MD, MS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ramón Charco, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   PRINCIPAL_INVESTIGATOR, Elena Elez, Department of Oncology, Hospital Universitario Vall d´Hebron|   PRINCIPAL_INVESTIGATOR, Cristina Dopazo, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Ernest Hidalgo, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Itxarone Bilbao, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Concepción Gómez-Gavara, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Mireia Caralt, Department of HPB Surgery and Transplants, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Javier Ros, Department of Oncology, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Francesc Salva, Department of Oncology, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Isabel Campos-Varela, Liver Unit, Department of Internal Medicine, Hospital Universitario Vall d´Hebron|   STUDY_CHAIR, Lluis Castells, Liver Unit, Department of Internal Medicine, Hospital Universitario Vall d´Hebron",Ramón Charco| Elena Elez| Cristina Dopazo| Ernest Hidalgo| Itxarone Bilbao| Concepción Gómez-Gavara| Mireia Caralt| Javier Ros| Francesc Salva| Isabel Campos-Varela| Lluis Castells,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Thomas Wehler, Prof Dr med, Universitätsklinikum Gießen Marburg","Thomas Wehler, Prof Dr med",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Chang Chen, MD, PhD, Shanghai Pulmonary Hospital, Tongji University School of Medicine","Chang Chen, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Stephen V Liu, JHU Sidney Kimmel Comprehensive Cancer Center LAO",Stephen V Liu,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Meredith Giuliani, MBBS, FRCPC, Princess Margaret Cancer Center","Meredith Giuliani, MBBS, FRCPC",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Elisabeth De Waele, MD, PhD, Universitair Ziekenhuis Brussel","Elisabeth De Waele, MD, PhD",Lung cancer (Ongoing)
"STUDY_CHAIR, Esther Troost, Prof., Technische Universität Dresden, German Cancer Consortium, Helmholtz-Zentrum Dresden - Rossendorf","Esther Troost, Prof.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Sinno Simons, MD, PhD, Erasmus Medical Center","Sinno Simons, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Remei Blanco, PhD, Hospital de Terrassa","Remei Blanco, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, MD, Amgen",MD,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Steve Pastores, MD, Memorial Sloan Kettering Cancer Center|   PRINCIPAL_INVESTIGATOR, Marcel van den Brink, MD, PhD, Memorial Sloan Kettering Cancer Center","Steve Pastores, MD| Marcel van den Brink, MD, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Junjie Wang, Peking University Third Hospital, Department of Radiation Oncology",Junjie Wang,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, James L Gulley, M.D., National Cancer Institute (NCI)","James L Gulley, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Amy Lankford, PhD, Precigen, Inc","Amy Lankford, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Raphael Bueno, MD, Brigham and Women's Hospital","Raphael Bueno, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Laura Johnson, PhD, Verismo Therapeutics","Laura Johnson, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ji-youn han, Ph.D, National Cancer Center","Ji-youn han, Ph.D",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hyun Kim, M.D., Washington University School of Medicine","Hyun Kim, M.D.",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Thomas Lycan, MD, Wake Forest Baptist Comprehensive Cancer Center","Thomas Lycan, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Peng Zhang, PhD, Shanghai Pulmonary Hospital, Shanghai, China","Peng Zhang, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Jianbo Yu, MD, Tianjin Nankai Hospital","Jianbo Yu, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kei Ouchi, MD, MPH, Brigham and Women's Hospital","Kei Ouchi, MD, MPH",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Andreas Rimner, MD, Memorial Sloan Kettering Cancer Center","Andreas Rimner, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Ibiayi T Dagogo-Jack, MD, Massachusetts General Hospital","Ibiayi T Dagogo-Jack, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, jean-olivier ARNAUD, Assistance Publique -hôpitaux de Marseille",jean-olivier ARNAUD,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, David B Dix, Children's Oncology Group",David B Dix,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Shun Lu, Shanghai Chest Hospital",Shun Lu,Lung cancer (Ongoing)
"STUDY_CHAIR, John Kauh, MD, Hutchmed","John Kauh, MD",Lung cancer (Ongoing)
"STUDY_CHAIR, Ulrik Wisløff, Professor, Norwegian University of Science and Technology","Ulrik Wisløff, Professor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Li Zhang, botanic physician",Li Zhang,Lung cancer (Ongoing)
"STUDY_DIRECTOR, BioNTech Responsible Person, BioNTech SE",BioNTech Responsible Person,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Michael Kurman, MD, Acepodia Biotech, Inc.","Michael Kurman, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Elaine Shum, MD, NYU Langone Health","Elaine Shum, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Kirsten Ness, PhD, St. Jude Children's Research Hospital","Kirsten Ness, PhD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Hatim Husain, University of California, San Diego",Hatim Husain,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jill Kolesar, PharmD, MS, University of Kentucky","Jill Kolesar, PharmD, MS",Lung cancer (Ongoing)
"STUDY_DIRECTOR, John Welch, MD, PhD, A2 Biotherapeutics","John Welch, MD, PhD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Janssen Research & Development, LLC Clinical Trial, Janssen Research & Development, LLC","Janssen Research & Development, LLC Clinical Trial",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Charles B Simone, NRG Oncology",Charles B Simone,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anish Thomas, M.D., National Cancer Institute (NCI)","Anish Thomas, M.D.",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Philippe Menu, MD-PhD, MBA, SOPHiA GENETICS","Philippe Menu, MD-PhD, MBA",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Alkermes, Inc.",Medical Director,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Rehab Hegazy, PhD, National Research Center","Rehab Hegazy, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jamie L Studts, PhD, University of Colorado School of Medicine|   PRINCIPAL_INVESTIGATOR, Jessica L Burris, PhD, University of Kentucky","Jamie L Studts, PhD| Jessica L Burris, PhD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Mohamed M Abdelhadi, professor, Assiut University|   PRINCIPAL_INVESTIGATOR, Hebatallah G Rashed, professor, Assiut University","Mohamed M Abdelhadi, professor| Hebatallah G Rashed, professor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Shun Lu, Doctor, Shanghai Chest Hospital","Shun Lu, Doctor",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Anne Tournadre, University Hospital, Clermont-Ferrand",Anne Tournadre,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Theodore L Wagener, PhD, Ohio State University Comprehensive Cancer Center|   PRINCIPAL_INVESTIGATOR, Marielle Brinkman, BS, Ohio State University","Theodore L Wagener, PhD| Marielle Brinkman, BS",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Paolo Muto, MD, National Cancer Institute of Naples|   PRINCIPAL_INVESTIGATOR, Alessandro Ottaiano, MD, National Cancer Institute of Naples","Paolo Muto, MD| Alessandro Ottaiano, MD",Lung cancer (Ongoing)
"STUDY_DIRECTOR, Pulmonary Medicine, China Medical University Hospital",Pulmonary Medicine,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Chantal Decroisette, MD, CH Annecy Genevois","Chantal Decroisette, MD",Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Frédéric MD Baron, Centre Hospitalier Universitaire de Liege",Frédéric MD Baron,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"PRINCIPAL_INVESTIGATOR, Jeffrey Clarke, MD, Duke University","Jeffrey Clarke, MD",Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Director, Merck Sharp & Dohme LLC",Medical Director,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Medical Responsible, Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",Medical Responsible,Lung cancer (Ongoing)
NA,NA,Lung cancer (Ongoing)
"STUDY_DIRECTOR, Incyte Medical Monitor, Incyte Corporation",Incyte Medical Monitor,Lung cancer (Ongoing)
